nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1543726296,1543726354,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.705,0.547,TRUE,30001016;5065690,0.001,NA
mr-0xc11,1543726296,1543726355,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.501,0.547,TRUE,300.01;299.9804;5065.702,0,NA
mr-0xc11,1543726296,1543726356,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.528,0.547,TRUE,300.01;299.9804;5065.702,0,NA
mr-0xc11,1543726296,1543726357,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,1.462,0.551,TRUE,30001016;29998058;506570021,0.001,NA
mr-0xc11,1543726296,1543726359,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,1.461,0.537,TRUE,30001016;29998058;506570021,0.001,NA
mr-0xc11,1543726296,1543726361,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.082,0.593,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726361,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.079,0.592,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726362,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.176,0.631,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726362,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.193,0.631,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726365,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,2.506,0.784,TRUE,30001016;50649181,0.009,NA
mr-0xc11,1543726296,1543726368,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,2.508,0.814,TRUE,30001016;50649181,0.009,NA
mr-0xc11,1543726296,1543726368,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.415,0.814,TRUE,30.00102;29.99806;506.57,0,NA
mr-0xc11,1543726296,1543726369,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.409,0.814,TRUE,30.00102;29.99806;506.57,0,NA
mr-0xc11,1543726296,1543726375,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999969,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,6.048,0.886,TRUE,30001016;29998058;506570021,0.013,NA
mr-0xc11,1543726296,1543726382,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999969,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,5.995,0.945,TRUE,30001016;29998058;506570021,0.013,NA
mr-0xc11,1543726296,1543726387,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.077,0.788,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726387,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.078,0.777,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726388,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.131,0.824,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726389,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.136,0.824,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726396,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,6.054,1.465,TRUE,30001016;218993175,0.036,NA
mr-0xc11,1543726296,1543726402,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,5.229,1.793,TRUE,30001016;218993175,0.038,NA
mr-0xc11,1543726296,1543726403,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.263,1.793,TRUE,6.000203;5.999612;101.314,0,NA
mr-0xc11,1543726296,1543726404,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.278,1.793,TRUE,6.000203;5.999612;101.314,0,NA
mr-0xc11,1543726296,1543726417,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4323579,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,11.622,1.984,TRUE,30001016;29998058;506570021,0.048,NA
mr-0xc11,1543726296,1543726429,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4323579,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,11.468,1.984,TRUE,30001016;29998058;506570021,0.054,NA
mr-0xc11,1543726296,1543726431,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.063,0.518,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726431,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.069,0.52,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726431,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.127,0.567,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726431,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.127,0.567,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726432,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.775,0.547,TRUE,30001016;5065690,0.002,NA
mr-0xc11,1543726296,1543726433,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.772,0.547,TRUE,30001016;5065690,0.002,NA
